time,horizontal_distance,horizontal_distance_detrended,vertical_distance,vertical_distance_detrended
2025-10-04-08-22-00,78.32300000000001,4.334447236180921,13.810458110029103,0.7642799941959311
2025-10-04-08-22-01,78.156,4.167447236180919,13.78101150425079,0.7348333884176181
2025-10-04-08-22-02,77.822,3.833447236180916,13.722118292694162,0.6759401768609905
2025-10-04-08-22-03,74.649,0.6604472361809144,13.162632782906202,0.11645466707303065
2025-10-04-08-22-04,66.63300000000001,-7.355552763819077,11.749195705547148,-1.2969824102860237
2025-10-04-08-22-05,67.802,-6.18655276381908,11.955321945995344,-1.0908561698378278
2025-10-04-08-22-06,69.138,-4.850552763819081,12.190894792221853,-0.8552833236113191
2025-10-04-08-22-07,70.474,-3.5145527638190828,12.426467638448361,-0.6197104773848103
2025-10-04-08-22-08,72.311,-1.6775527638190795,12.750380302009813,-0.29579781382335923
2025-10-04-08-22-09,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-22-10,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-22-11,76.152,2.1634472361809145,13.427652234911024,0.38147411907785234
2025-10-04-08-22-12,76.486,2.4974472361809177,13.486545446467654,0.44036733063448175
2025-10-04-08-22-13,75.818,1.8294472361809113,13.368759023354396,0.3225809075212247
2025-10-04-08-22-14,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-22-15,67.96900000000001,-6.019552763819078,11.984768551773657,-1.061409564059515
2025-10-04-08-22-16,68.303,-5.685552763819089,12.043661763330283,-1.002516352502889
2025-10-04-08-22-17,69.47200000000001,-4.516552763819078,12.24978800377848,-0.7963901120546915
2025-10-04-08-22-18,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-22-19,71.476,-2.5125527638190874,12.603147273118243,-0.4430308427149292
2025-10-04-08-22-20,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-22-21,74.983,0.9944472361809176,13.22152599446283,0.17534787862965828
2025-10-04-08-22-22,75.48400000000001,1.4954472361809223,13.309865811797772,0.2636876959646006
2025-10-04-08-22-23,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-22-24,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-22-25,73.81400000000001,-0.17455276381907936,13.015399754014634,-0.030778361818537547
2025-10-04-08-22-26,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-22-27,76.152,2.1634472361809145,13.427652234911024,0.38147411907785234
2025-10-04-08-22-28,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-22-29,76.319,2.330447236180916,13.457098840689339,0.41092072485616704
2025-10-04-08-22-30,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-22-31,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-22-32,69.63900000000001,-4.3495527638190765,12.279234609556795,-0.7669435062763768
2025-10-04-08-22-33,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-22-34,73.647,-0.34155276381908095,12.985953148236321,-0.060224967596850476
2025-10-04-08-22-35,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-22-36,76.152,2.1634472361809145,13.427652234911024,0.38147411907785234
2025-10-04-08-22-37,76.82000000000001,2.831447236180921,13.545438658024281,0.4992605421911094
2025-10-04-08-22-38,77.15400000000001,3.165447236180924,13.604331869580909,0.558153753747737
2025-10-04-08-22-39,77.15400000000001,3.165447236180924,13.604331869580909,0.558153753747737
2025-10-04-08-22-40,77.321,3.3324472361809114,13.63377847535922,0.5876003595260482
2025-10-04-08-22-41,77.321,3.3324472361809114,13.63377847535922,0.5876003595260482
