x,y,z
453822.2524499666,6071830.257178343,0.44
453822.4485848706,6071831.178782642,0.44
453822.75261886197,6071832.055734447,0.44
453822.9193716248,6071832.989498124,0.44
453823.0861243876,6071833.923261801,0.44
453823.25287715043,6071834.857025477,0.44
453823.4196299133,6071835.790789153,0.44
453823.5863826761,6071836.724552831,0.44
453823.7531354389,6071837.658316507,0.44
453823.9198882017,6071838.592080183,0.44
453824.0866409645,6071839.52584386,0.44
453824.25339372735,6071840.459607536,0.44
453824.42014649016,6071841.393371213,0.44
453824.58689925296,6071842.32713489,0.44
453824.75365201576,6071843.260898566,0.44
453824.9204047786,6071844.194662242,0.44
453825.08715754136,6071845.1284259185,0.44
453825.30629750335,6071846.040509903,0.44
453825.42602534586,6071846.99373417,0.44
453825.5874158298,6071847.929716948,0.44
453825.7541685927,6071848.863480625,0.44
453825.9209213554,6071849.797244302,0.44
453826.0876741183,6071850.731007978,0.44
453826.2544268811,6071851.664771655,0.44
453826.25451627414,6071852.66750658,0.44
453826.421269037,6071853.601270257,0.44
453826.4213584301,6071854.604005183,0.44
453826.58811119286,6071855.537768859,0.44
453826.588200586,6071856.540503785,0.44
453826.7549533488,6071857.474267462,0.44
453826.98051784694,6071858.383692744,0.44
453826.921783196,6071859.272697905,0.44
453827.08852365013,6071860.068393422,0.44
453827.3801037329,6071860.950499101,0.44
453827.28451596544,6071861.854755396,0.44
453827.4220939515,6071862.662519383,0.44
453827.5888467143,6071863.59628306,0.44
453827.5889361074,6071864.599017985,0.44
453827.7556888702,6071865.532781662,0.44
453827.922441633,6071866.466545339,0.44
453827.9225310261,6071867.469280264,0.44
453828.0892837889,6071868.403043941,0.44
453828.089373182,6071869.405778867,0.44
453828.25612594484,6071870.3395425435,0.44
453828.25621533784,6071871.342277469,0.44
453828.08962905256,6071872.275915485,0.44
453828.0897184456,6071873.2786504105,0.44
453828.0898078387,6071874.281385336,0.44
453827.9232215534,6071875.215023352,0.44
453827.9233109465,6071876.217758278,0.44
453827.75672466116,6071877.151396294,0.44
453827.7568140542,6071878.15413122,0.44
453827.5902277689,6071879.0877692355,0.44
453827.42364148353,6071880.021407251,0.44
453827.4023141228,6071881.015263667,0.44
453827.2571445913,6071881.957780193,0.44
453827.09055830596,6071882.891418208,0.44
453826.9239720206,6071883.825056224,0.44
453826.92406141374,6071884.82779115,0.44
453826.7574751284,6071885.7614291655,0.44
453826.59088884306,6071886.695067181,0.44
453826.59097823617,6071887.697802107,0.44
